initiatives_launched,cbus,media,in_education,in_comms,in_marketing,in_other,ch_journey_tot,ch_email_tot,ch_sms_tot,ch_journey_education,ch_email_education,ch_sms_education,ch_journey_comms,ch_email_comms,ch_sms_comms,ch_journey_marketing,ch_email_marketing,ch_sms_marketing,ch_journey_other,ch_email_other,ch_sms_other,page_vol,portal_ex,web_pers,page_education,portal_education,web_education,page_comms,portal_comms,web_comms,page_marketing,portal_marketing,web_marketing,page_other,portal_other,web_other
35,139,66,1,9,17,8,188,266,36,68,123,16,57,52,1,33,56,0,29,34,19,24,30,17,1,0,0,19,12,0,4,17,17,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
